,Seller_address,Buyer_address,Unique_id_collection
139,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9627823b76decf20a2f422f53d765565e40f1e1d,"('Godsunchained', '14494097.0')"
140,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x5795c87f8f655d2567d107d8adc1c97ebcfa5a46,"('Godsunchained', '12924135.0')"
141,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xeffa7c8b6bb4abc17ec9121943f6df9fceee6e9c,"('Godsunchained', '129385927.0')"
142,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '40952805.0')"
143,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '8375524.0')"
144,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x67b1dc6989320e65f6578adfedf0d044ff4f823f,"('Godsunchained', '10920076.0')"
145,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe1e3ef6f4a33b730dd88f21e1ac360575d134243,"('Godsunchained', '12289848.0')"
146,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x45a1a5b1bbdf6f93665f2b9a9d06cd1d00c820e0,"('Godsunchained', '8738289.0')"
147,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '17654257.0')"
148,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x7c65fb8ee43efdb69fbfd4e1829d70c4308ba54a,"('Godsunchained', '43457382.0')"
149,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9e8c66c743723b1ffe4feb99b5bbcd67d391f6fe,"('Godsunchained', '41025479.0')"
150,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x6975be450864c02b4613023c2152ee0743572325,"('Godsunchained', '17764405.0')"
151,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x3ef342908f3a8b20127bda3a11ad7a62adbfad5c,"('Godsunchained', '120916755.0')"
152,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x74860c8b64da246bbf9e0f5debecdd8f600352ba,"('Godsunchained', '17764249.0')"
153,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '12495117.0')"
154,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9254f7f72bc6294ad6569d1ab78139121db880f6,"('Godsunchained', '12277338.0')"
155,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9627823b76decf20a2f422f53d765565e40f1e1d,"('Godsunchained', '91290475.0')"
156,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '45580440.0')"
157,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '119571906.0')"
158,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '41659629.0')"
159,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '129183268.0')"
160,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '9006095.0')"
161,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x52397c6bbc2518d29556354771fc7bebc4026318,"('Godsunchained', '71606073.0')"
162,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x03302b2ab3ed90f167b590da2b8eeb9fcf0e89ac,"('Godsunchained', '129591112.0')"
163,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '14825719.0')"
164,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xd914a19f0e1420ace988b01863cf68a85c4ae554,"('Godsunchained', '129571079.0')"
165,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '40939049.0')"
166,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xc94f7722ac1fb85b63fade4f12eae3b0c1961cfb,"('Godsunchained', '47714575.0')"
167,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x1d5c30676ca03adae00257568b830c8d424a1e53,"('Godsunchained', '8987413.0')"
168,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x65b435425e7928c594997f38681b542234be91d3,"('Godsunchained', '15237316.0')"
169,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '8774577.0')"
170,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x03302b2ab3ed90f167b590da2b8eeb9fcf0e89ac,"('Godsunchained', '18296067.0')"
171,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf983557ec70fbf1a4b1e247af7bf10247e9b69c4,"('Godsunchained', '56865495.0')"
172,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '12184786.0')"
173,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xa0a0eaa4760d99f9173003185d0efa5bed675e78,"('Godsunchained', '9010993.0')"
174,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x6c8eff2ca9017baeffa29f9a8924530abd26647f,"('Godsunchained', '6265242.0')"
175,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xe4ac23225f2ab5211a9f25249b66d6929a5b9ee3,"('Godsunchained', '108080149.0')"
