wallet,ei_seller,ei_buyer
0xdd50862f53d6da914ef74e572e7f85af1062e9ac,704,5040
0x5054dc3754e813a24523483ac55b6327dc690929,708,3478
0xc29d68bd64b47be52d7487abd44673dd3b0dd15e,711,23
0x034f3e9dc95e244ed292745f09b7e29a8c5bc9d3,715,4679
0x7306d50342f3c957673c06ae33e481285b7a9747,716,3477
0xbb60f9f245505f3d132974169be1c01aa68f66f7,718,113
0x5ce9ad759e41bf1b3dfc1a41db940a90d7a43460,720,2412
0xfe070c19e08e6caec1397f201e7d389359a1f1e7,721,2703
0x287b59eb4175e96ab23263698803a8f7dea7fea9,725,107
0x7909e250df0c9c534775fdac519add46c46b6aa7,727,98
0x1df4c50410e20c2210b60b95cd845672cbd437a7,733,2870
0xd1aed367761534e67c6e3e6de2315d77c4c8fe3c,734,2678
0x921e7ebebfb4f37a3770c5ccafc108ac31c8d438,735,5097
0xc2dfcc06d2298132d17a9f70251d5e102874e9e7,740,4636
0x6763ad99a7ced95818773781e9c83cb1f199b839,742,2788
0xd7c318e9f9129239f6ba4e10994137113dcf6244,743,3664
0xeab37b9b0b3ff2d24e70bcf7b15ff574b410c4d5,745,5424
0x7a41fc100d3221bbf8b85fb3000aff2bc6ba3b96,746,2754
0x44f299a7b638e93d44a925aac1cb8b7b8493ed6e,747,3268
0x543154e6914d93a137b0749d2e6432a4d597df49,761,4056
0x2755865624377194e5e10934bfd3c6d9265c7e2b,762,2980
0xb03c2f74eb798aea7067b33ef7c6635207ebe10a,770,3820
0x12698465132a42b9f4502f9749c42d1830a5be96,772,3464
0x21eb2bd8a64391df5edbb8008b8381c0f2aefedd,773,2758
0xa63c72f57eaec7bef6cf6ce5c61cfde05dae9fcf,775,3180
0x447331e3e8e1d9fd2878e345c7fe11c88db0858f,777,1496
0x8fe61ecdfb72fe97053383d8bfdf43715c8aac1b,780,4877
0x9eec0b5bd8a48047f0dcc61e98b4b92951480f98,782,3247
0x088e25e6027816c753d01d7f243c367710f20497,784,3482
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,786,3080
0x8121a0dfa2380dc745dc19d511478c3494434942,788,2636
0x8fd024194feeaf9de1c0ad7c9ab9c3a7055b34fd,791,3995
0x490a4fdc7a1a35b5c2c3e9418dce793fce027bb2,793,1284
0x4efdf673421feda7fb9e1b6baaf824f7c8e70696,796,3856
0xff1a9252def51ede4489c05998f5e7cf8ad2c1b3,798,4929
0x0c2ccccc447e7b86524f73c20ebac195e721c584,801,4489
